boardgameID,boardgame_name
0,Pandemic
1,Carcassonne
2,Catan
3,7 Wonders
4,Dominion
5,Ticket to Ride
6,Codenames
7,Agricola
8,Puerto Rico
9,Small World
10,Terraforming Mars
11,King of Tokyo
12,Ticket to Ride: Europe
13,Splendor
14,Power Grid
15,7 Wonders Duel
16,Love Letter
17,Scythe
18,Dixit
19,Citadels
20,Azul
21,Race for the Galaxy
22,Lords of Waterdeep
23,The Castles of Burgundy
24,Stone Age
25,Patchwork
26,Munchkin
27,Forbidden Island
28,Twilight Struggle
29,Pandemic Legacy: Season 1
30,Dead of Winter: A Crossroads Game
31,Terra Mystica
32,Gloomhaven
33,Bohnanza
34,Hanabi
35,Arkham Horror
36,Lost Cities
37,Betrayal at House on the Hill
38,The Resistance
39,Jaipur
40,Coup
41,Star Realms
42,Takenoko
43,Wingspan
44,Sushi Go!
45,Battlestar Galactica: The Board Game
46,Robinson Crusoe: Adventures on the Cursed Island
47,Blood Rage
48,Magic: The Gathering
49,Five Tribes
50,Mysterium
51,Dominion: Intrigue
52,Risk
53,Tzolk'in: The Mayan Calendar
54,Kingdomino
55,Galaxy Trucker
56,Hive
57,Sheriff of Nottingham
58,Eldritch Horror
59,Alhambra
60,A Game of Thrones: The Board Game (Second Edition)
61,Chess
62,Caverna: The Cave Farmers
63,Monopoly
64,Mage Knight Board Game
65,Great Western Trail
66,Cosmic Encounter
67,Caylus
68,Android: Netrunner
69,The Resistance: Avalon
70,Viticulture Essential Edition
71,Concordia
72,Eclipse
73,BANG!
74,Scrabble
75,Le Havre
76,Arkham Horror: The Card Game
77,Shadows over Camelot
78,Roll for the Galaxy
79,Memoir '44
80,Clank!: A Deck-Building Adventure
81,Tigris & Euphrates
82,Machi Koro
83,Santorini
84,Forbidden Desert
85,Saboteur
86,Istanbul
87,Colt Express
88,El Grande
89,Smash Up
90,For Sale
91,Mansions of Madness: Second Edition
92,Sagrada
93,T.I.M.E Stories
94,Star Wars: X-Wing Miniatures Game
95,Tsuro
97,RoboRally
98,Blokus
99,Descent: Journeys in the Dark (Second Edition)
96,Cards Against Humanity
